タイムスタンプ,"ユーザーネーム","XID",当店にご帰宅したことはありますか？*,希望するキャストを3人まで選択してください。１,"自由記述欄,意気込みなど",その他,ペアチケットフラグ
2026/02/01 20:56:22,タウ,tau_vrc,まだ1度もない！,"ばも,ふぃり,しらす",19,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:57:28,ユプシロン,upsilon_vrc,まだ1度もない！,"めび,そに,もく",20,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:57:58,ファイ,phi_vrc,1回以上ある！,柘榴_ざくろ,21,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:58:25,カイ,chi_vrc,まだ1度もない！,"るびちゃ,ちるちる,そいる",22,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:58:44,サイ,psi_vrc,まだ1度もない！,"ぷりも,ばじばじ",23,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 20:59:20,オメガ,omega_vrc,1回以上ある！,"なりむ,もく,すくいど",24,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 21:00:00,アレフ,aleph_vrc,1回以上ある！,"いざしー,ばも",25,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 21:00:23,ベート,bet_vrc,1回以上ある！,"こなちゃ,しらす",26,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 21:00:56,ギメル,gimel_vrc,まだ1度もない！,"しろん,なんこつ,ふぃり",27,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 21:01:19,ダレット,dat_vrc,まだ1度もない！,"そに,めび,柘榴_ざくろ",28,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 21:01:46,ヘー,he_vrc,まだ1度もない！,"もく,ニャンツァー,ちるちる",29,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 21:02:09,ヴァヴ,vav_vrc,1回以上ある！,せれにた,30,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 21:02:33,ザイン,zayin_vrc,まだ1度もない！,"ばじばじ,ぷりも,なりむ",31,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
2026/02/01 21:03:07,ヘット,het_vrc,1回以上ある！,"ヌウア,もく,すくいど",32,"公式垢のフォローはしましたか？(当選dm送信のため), 元ツイートのRPはしましたか？, 当選DMは開催日の前日のうちに送ります。",0
