ユーザー名,アカウントID,希望キャスト
河野ましろ,@vrc_5170,"ぷりも,めび,ばも,なんこつ"
小野あかり,@game_5171,ちるちる
田村れいな,@play_5172,ちるちる
上田だいき,@star_5173,"ばじばじ,ヌウア,Diefuku"
新井つむぎ,@moon_5174,"なゆたの,なんこつ"
丸山めい,@sun_5175,"ちるちる,なんこつ"
大野ふうか,@sky_5176,"ぷりも,moku,Diefuku"
高木りお,@cat_5177,"moku,柘榴_ざくろ"
菅原ひなた,@fox_5178,"めび,ニャンツァー,なんこつ"
酒井しゅん,@bear_5179,"ふぃり,なんこつ,moku"
宮本みお,@vrc_5180,"めび,柘榴_ざくろ"
安藤みずき,@game_5181,"るびちゃ,なんこつ,ばも"
馬場たいが,@play_5182,"なんこつ,ばも"
野口ゆうき,@star_5183,"ちるちる,ふぃり,柘榴_ざくろ"
柴田いつき,@moon_5184,"Diefuku,ヌウア,なゆたの,ばじばじ"
島田ともや,@sun_5185,"ぷりも,ばじばじ,ヌウア,ふぃり"
渡部れん,@sky_5186,"るびちゃ,ばも,Diefuku"
野村あおい,@cat_5187,ぷりも
森田ちひろ,@fox_5188,ニャンツァー
工藤こはる,@bear_5189,"Diefuku,柘榴_ざくろ"
佐藤ななみ,@vrc_5190,"ばじばじ,ふぃり,ニャンツァー,めび"
鈴木さら,@game_5191,"るびちゃ,ばじばじ,れあちーず"
高橋はると,@play_5192,"ちるちる,めび,ふぃり"
田中はやと,@star_5193,"なゆたの,ニャンツァー,ちるちる"
伊藤かいと,@moon_5194,"ふぃり,なんこつ"
渡辺まい,@sun_5195,"なゆたの,ふぃり,ヌウア,ばじばじ"
山本けい,@sky_5196,"るびちゃ,れあちーず,めび"
中村るい,@cat_5197,"ちるちる,ニャンツァー,moku"
小林せい,@fox_5198,"れあちーず,なんこつ"
加藤りょう,@bear_5199,ちるちる
