ユーザー名	アカウントID	希望キャスト
金子たくみ	@sky_5166	RRR,TTT,JJJ,QQQ
和田こうへい	@cat_5167	AAA,FFF,RRR
中野かなで	@fox_5168	WWW,YYY
原田のぞみ	@bear_5169	YYY,JJJ
河野ましろ	@vrc_5170	FFF,RRR,KKK,BBB
小野あかり	@game_5171	QQQ
田村れいな	@play_5172	QQQ
上田だいき	@star_5173	GGG,WWW,TTT
新井つむぎ	@moon_5174	JJJ,BBB
丸山めい	@sun_5175	QQQ,BBB
大野ふうか	@sky_5176	FFF,YYY,TTT
高木りお	@cat_5177	YYY,AAA
菅原ひなた	@fox_5178	RRR,CCC,BBB
酒井しゅん	@bear_5179	DDD,BBB,YYY
宮本みお	@vrc_5180	RRR,AAA
安藤みずき	@game_5181	UUU,BBB,KKK
馬場たいが	@play_5182	BBB,KKK
野口ゆうき	@star_5183	QQQ,DDD,AAA
柴田いつき	@moon_5184	TTT,WWW,JJJ,GGG
島田ともや	@sun_5185	FFF,GGG,WWW,DDD
渡部れん	@sky_5186	UUU,KKK,TTT
野村あおい	@cat_5187	FFF
森田ちひろ	@fox_5188	CCC
工藤こはる	@bear_5189	TTT,AAA
佐藤ななみ	@vrc_5190	GGG,DDD,CCC,RRR
鈴木さら	@game_5191	UUU,GGG,HHH
高橋はると	@play_5192	QQQ,RRR,DDD
田中はやと	@star_5193	JJJ,CCC,QQQ
伊藤かいと	@moon_5194	DDD,BBB
渡辺まい	@sun_5195	JJJ,DDD,WWW,GGG
山本けい	@sky_5196	UUU,HHH,RRR
中村るい	@cat_5197	QQQ,CCC,YYY
小林せい	@fox_5198	HHH,BBB
加藤りょう	@bear_5199	QQQ
